user_id,job_id,rank,final_score,content_score,lfm_score
31363,74279485.0,1,0.824095582962036,0.9999999999999999,0.56023896
31363,74254214.0,2,0.7066163875503502,0.8514002971919313,0.4894405
31363,72329196.0,3,0.7033326110392948,0.9129086519529654,0.38896853
31363,74272104.0,4,0.6969264218428585,0.6398127094273522,0.782597
31363,74312197.0,5,0.6468728895614857,0.691363160085399,0.5801375
31363,75664372.0,6,0.6426076846175695,0.692904783098781,0.56716204
31363,74440389.0,7,0.6332336239647685,0.7619396386265455,0.4401746
31363,74400957.0,8,0.6148968744665504,0.753404938245833,0.40713477
31363,75861302.0,9,0.6123313206399432,0.6274504293940054,0.58965266
31363,75660149.0,10,0.5985747986582088,0.6903976638362089,0.4608405
50414,74458885.0,1,0.7216428056359291,1.0,0.304107
50414,76500257.0,2,0.6676695968152913,0.7463707320295825,0.5496179
50414,76311117.0,3,0.6419941276622689,0.610957707019792,0.68854874
50414,74132813.0,4,0.6067418923132177,0.595943310219804,0.62293977
50414,74198478.0,5,0.605797316090151,0.3836186154946425,0.93906534
50414,74563910.0,6,0.5503775602577821,0.6830921232698188,0.35130572
50414,72329196.0,7,0.5273403349158664,0.4752992296612097,0.605402
50414,75312685.0,8,0.5210746384073024,0.41151605652582735,0.6854125
50414,75660149.0,9,0.5178342382858324,0.36430774807104266,0.74812394
50414,74163468.0,10,0.5055426566245075,0.4208831834200217,0.6325319
55640,74189923.0,1,0.7901179105043411,1.0,0.47529477
55640,74710357.0,2,0.5840978215299424,0.5966740416424766,0.56523347
55640,74073310.0,3,0.516992170431623,0.48955297108890145,0.55815095
55640,75277708.0,4,0.47880367230091453,0.37280456540839474,0.6378023
55640,74014003.0,5,0.44269189506844875,0.3241388792805572,0.6205214
55640,76688895.0,6,0.42653525936322834,0.19919978359867177,0.7675385
55640,72337520.0,7,0.4178518605481151,0.16386681997950917,0.79882944
55640,83797784.0,8,0.4124811525233132,0.1750975739769708,0.76855654
55640,76481124.0,9,0.4000000059604645,0.0,1.0
55640,76690266.0,10,0.39800134529111864,0.2010532754897754,0.69342345
52376,74583232.0,1,0.7855420917272568,1.0,0.4638552
52376,74254214.0,2,0.7666219538838629,0.8298204452446706,0.6718242
52376,75660149.0,3,0.7412625652439111,0.901031660021463,0.5016089
52376,74663540.0,4,0.728457747949293,0.862831695300226,0.52689683
52376,75664372.0,5,0.7225421879430062,0.9092489983869008,0.44248196
52376,72329196.0,6,0.6919529822380927,0.8032555277002498,0.52499914
52376,75591787.0,7,0.6592547190929134,0.8083549957713618,0.4356043
52376,74400957.0,8,0.6102363453375234,0.8318031556187294,0.27788612
52376,74565409.0,9,0.5953985243484292,0.601274485297487,0.58658457
52376,74266324.0,10,0.5856008168640843,0.5438174202347977,0.6482759
12724,74458885.0,1,0.8028934508562088,1.0,0.5072336
12724,74132813.0,2,0.6702311694791976,0.9345117062613474,0.27381036
12724,74655699.0,3,0.5988694062395694,0.6123315179619196,0.5786762
12724,75419938.0,4,0.5918877561183509,0.5181185138377442,0.7025416
12724,74060940.0,5,0.5886336611349521,0.3206890898676609,0.9905505
12724,76500257.0,6,0.5846008905528943,0.7077636236546704,0.39985678
12724,74197309.0,7,0.5425833635966539,0.47140442223028356,0.6493518
12724,75370899.0,8,0.5411154897278039,0.4881942472963677,0.62049735
12724,74345753.0,9,0.5387674045377215,0.7112029934613638,0.28011402
12724,74359945.0,10,0.5273687066631247,0.4416488809712612,0.65594846
